tc_season,atcf_id,storm_name,adm0_name,adm0_code,adm1_name,adm1_code,jtwc_start_time_15as,jtwc_start_time_30as,jtwc_end_time_15as,jtwc_end_time_30as,tech_15as,tech_30as,population_15as,population_30as,loss_15as,loss_30as,wind_cat_15as,wind_cat_30as,wind_cat_0_15as,wind_cat_0_30as,wind_cat_1_15as,wind_cat_1_30as,wind_cat_2_15as,wind_cat_2_30as,wind_cat_3_15as,wind_cat_3_30as,wind_cat_4_15as,wind_cat_4_30as,wind_cat_5_15as,wind_cat_5_30as
1980,SH121980,NONAME,Mauritius,MUS,Rivière du Rempart,MUS.9_1,1980-02-01 12:00,,1980-02-07 00:00,,OFCL,,113200.0,,1049407.83,,"{0: 48117, 1: 65083}",,48117.0,,65083.0,,0.0,,0.0,,0.0,,0.0,
1980,SH121980,NONAME,Mauritius,MUS,,No Adm1,,1980-02-01 12:00,,1980-02-07 00:00,,OFCL,,43832.0,,3779556.33,,"{0: 307, 1: 33140, 2: 10385}",,307.0,,33140.0,,10385.0,,0.0,,0.0,,0.0
1980,SH121980,NONAME,Reunion,REU,Arrondissement_du_vent,REU,,1980-02-01 12:00,,1980-02-07 00:00,,OFCL,,1219.0,,0.09,,{0: 1219},,1219.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH121980,NONAME,Reunion,REU,Arrondissement_souse_le_vent,REU,,1980-02-01 12:00,,1980-02-07 00:00,,OFCL,,27176.0,,13.55,,{0: 27176},,27176.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH121980,NONAME,Reunion,REU,Saint-Benoît,REU.1_1,1980-02-01 12:00,,1980-02-07 00:00,,OFCL,,3247.0,,346028.92,,{0: 3247},,3247.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1980,SH121980,NONAME,Reunion,REU,Saint-Denis,REU.2_1,1980-02-01 12:00,,1980-02-07 00:00,,OFCL,,630.0,,73681.85,,{0: 630},,630.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1980,SH121980,NONAME,Reunion,REU,Saint-Pierre,REU.4_1,1980-02-01 12:00,,1980-02-07 00:00,,OFCL,,933.0,,103488.5,,{0: 933},,933.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1980,SH181980,NONAME,Madagascar,MDG,Androy,MDG,,1980-02-25 12:00,,1980-03-13 00:00,,OFCL,,954114.0,,11820.4,,"{0: 772011, 1: 182103}",,772011.0,,182103.0,,0.0,,0.0,,0.0,,0.0
1980,SH181980,NONAME,Madagascar,MDG,Anosy,MDG,,1980-02-25 12:00,,1980-03-13 00:00,,OFCL,,202570.0,,822.49,,"{0: 195233, 1: 7337}",,195233.0,,7337.0,,0.0,,0.0,,0.0,,0.0
1980,SH181980,NONAME,Madagascar,MDG,Atsimo Andrefana,MDG,,1980-02-25 12:00,,1980-03-13 00:00,,OFCL,,43709.0,,4.59,,{0: 43709},,43709.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH181980,NONAME,Madagascar,MDG,Atsimo Atsinanana,MDG,,1980-02-25 12:00,,1980-03-13 00:00,,OFCL,,9554.0,,0.44,,{0: 9554},,9554.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH181980,NONAME,Madagascar,MDG,Fianarantsoa,MDG.3_1,1980-02-25 12:00,,1980-03-13 00:00,,OFCL,,27672.0,,2170.71,,"{0: 27370, 1: 302}",,27370.0,,302.0,,0.0,,0.0,,0.0,,0.0,
1980,SH181980,NONAME,Madagascar,MDG,Toliary,MDG.6_1,1980-02-25 12:00,,1980-03-13 00:00,,OFCL,,2036077.0,,992595.76,,"{0: 1108647, 1: 927133, 2: 297}",,1108647.0,,927133.0,,297.0,,0.0,,0.0,,0.0,
1980,SH181980,NONAME,Mauritius,MUS,Riviere Du Rempart,MUS,,1980-02-25 12:00,,1980-03-13 00:00,,OFCL,,123738.0,,360199.39,,{1: 123738},,0.0,,123738.0,,0.0,,0.0,,0.0,,0.0
1980,SH181980,NONAME,Mauritius,MUS,Savanne,MUS.12_1,1980-02-25 12:00,1980-02-25 12:00,1980-03-13 00:00,1980-03-13 00:00,OFCL,OFCL,70087.0,60507.0,161218.86,232290.72,{1: 70087},{1: 60507},0.0,0.0,70087.0,60507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,SH181980,NONAME,Mauritius,MUS,Black River,MUS.2_1,1980-02-25 12:00,1980-02-25 12:00,1980-03-13 00:00,1980-03-13 00:00,OFCL,OFCL,94560.0,72490.0,831830.72,1204725.24,"{1: 94467, 2: 93}",{1: 72490},0.0,0.0,94467.0,72490.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,SH181980,NONAME,Mauritius,MUS,Flacq,MUS.3_1,1980-02-25 12:00,1980-02-25 12:00,1980-03-13 00:00,1980-03-13 00:00,OFCL,OFCL,140810.0,148203.0,213625.67,227844.52,{1: 140810},{1: 148203},0.0,0.0,140810.0,148203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,SH181980,NONAME,Mauritius,MUS,Grand Port,MUS.4_1,1980-02-25 12:00,1980-02-25 12:00,1980-03-13 00:00,1980-03-13 00:00,OFCL,OFCL,113523.0,117962.0,232073.99,260159.26,{1: 113523},{1: 117962},0.0,0.0,113523.0,117962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,SH181980,NONAME,Mauritius,MUS,Moka,MUS.5_1,1980-02-25 12:00,1980-02-25 12:00,1980-03-13 00:00,1980-03-13 00:00,OFCL,OFCL,88800.0,144916.0,257187.66,348489.06,{1: 88800},{1: 144916},0.0,0.0,88800.0,144916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
